RES,POW,TotalFlow
1005028,1005018,70
1005030,1005018,415
1005030,1005030,50
1005033,1005018,225
1005035,1005018,25
1005035,1005024,25
1006001,1006009,20
1006001,1006017,40
1006001,1008044,35
1006003,1006003,55
1006003,1006009,20
1006003,1006017,35
1006008,1006009,55
1006009,1001519,65
1006009,1006009,4435
1006009,1006017,30
1006009,1007047,25
1006009,1008008,25
1006009,1008044,20
1006009,1010020,20
1006011,1006009,155
1006011,1006012,20
1006012,1006009,155
1006012,1006012,20
1006014,1006017,65
1006014,1006022,40
1006015,1006022,65
1006017,1001263,40
1006017,1001519,60
1006017,1006009,70
1006017,1006017,4110
1006017,1006019,165
1006017,1006026,40
1006017,1008044,30
1006017,1010020,20
1006017,4816037,45
1006019,1001519,25
1006019,1006017,455
1006019,1006019,330
1006019,1006022,70
1006021,1006017,75
1006021,1006019,20
1006021,1006021,25
1006021,1006022,30
1006022,1006017,205
1006022,1006019,40
1006022,1006022,425
1006022,1008049,20
1006022,4816037,20
1006026,1006017,120
1006026,1006026,70
1006031,1006017,20
1006031,1006031,60
1007001,1001259,50
1007001,1001263,45
1007001,1001274,60
1007001,1007001,25
1007001,1007013,245
1007001,4816037,20
1007006,1007006,140
1007006,1007013,205
1007009,1001263,20
1007009,1007013,325
1007013,1001259,50
1007013,1001263,45
1007013,1001270,35
1007013,1001274,85
1007013,1001519,70
1007013,1007006,30
1007013,1007013,1880
1007013,1007016,20
1007013,1007031,35
1007013,4816037,20
1007014,1007016,20
1007015,1007015,30
1007016,1007016,35
1007020,1007023,40
1007022,1001343,20
1007022,1007022,205
1007022,1007023,105
1007023,1007022,50
1007023,1007023,840
1007024,1007023,40
1007028,1007013,50
1007028,1007028,40
1007031,1001259,25
1007031,1001519,20
1007031,1007013,275
1007031,1007031,195
1007031,1007032,70
1007031,1007036,35
1007032,1007013,55
1007032,1007032,20
1007036,1007013,40
1007036,1007036,25
1007037,1007044,35
1007038,1007042,20
1007038,1007044,20
1007042,1007042,40
1007043,1007042,25
1007044,1001263,20
1007044,1006009,35
1007044,1007044,270
1007047,1006009,150
1007047,1007047,250
1007049,1006009,20
1007049,1007047,25
1007049,1007049,50
1007049,1007057,25
1007050,1007050,55
1007050,1007060,35
1007054,1007060,25
1007057,1007057,75
1007060,1007060,510
1008001,1007060,25
1008004,1007060,80
1008004,1008004,40
1008006,1006009,50
1008006,1007060,60
1008006,1008006,50
1008008,1006009,160
1008008,1008008,150
1008008,1008011,55
1008008,4816037,50
1008011,1006009,45
1008011,1008011,75
1008024,1008024,35
1008026,1008035,20
1008029,1008035,30
1008031,1001519,20
1008031,1006009,20
1008031,1008031,105
1008031,1008033,45
1008031,1008035,70
1008033,1008033,95
1008035,1008033,25
1008035,1008035,405
1008035,4816037,25
1008037,1008037,25
1008037,1008044,40
1008038,1008038,60
1008039,1008039,95
1008039,1008044,25
1008040,1008044,20
1008042,1006009,25
1008042,1008042,30
1008042,1008044,100
1008043,1008044,125
1008044,1006009,95
1008044,1006017,40
1008044,1008037,20
1008044,1008042,25
1008044,1008044,615
1008045,1008044,30
1008046,1006022,20
1008046,1008049,25
1008047,1006017,25
1008048,1008048,35
1008048,1008049,20
1008049,1006017,20
1008049,1008049,105
1008053,1008054,20
1008054,1008054,165
1008054,4816037,20
1008058,1008061,45
1008059,1008059,30
1008059,1008061,45
1008060,1008054,20
1008060,1008060,65
1008061,1008061,610
1008065,1008061,25
1008069,1008061,50
1008069,1008069,50
1008071,1008079,30
1008072,1008079,30
1008076,1008076,130
1008076,1008079,25
1008076,4816037,20
1008079,1008079,330
1008079,1008095,35
1008091,1008079,30
1008095,1008079,55
1008095,1008095,40
1008099,1008035,25
1008099,1008099,485
1009004,1009004,35
1009004,1009008,20
1009007,1009007,200
1009007,1009008,20
1009008,1009008,25
1009010,1009010,40
1009011,1009011,30
1009012,1009012,70
1009012,1009013,55
1009013,1009012,35
1009013,1009013,205
1009015,1009015,55
1009016,1009016,75
1009016,1009020,20
1009017,1009017,40
1009018,1009018,45
1009018,1009019,30
1009019,1009019,100
1009019,1009022,40
1009021,1009019,25
1009021,1009021,150
1009021,1009022,30
1009021,1009024,95
1009021,1009029,20
1009022,1009019,70
1009022,1009022,105
1009023,1009024,20
1009024,1009024,45
1009026,1009021,20
1009029,1009029,685
1009031,1009029,80
1009032,1009029,90
1009032,1009032,45
1009035,1009029,35
1009039,1009029,40
1010002,1010002,110
1010002,1010005,30
1010004,1010004,25
1010005,1010005,60
1010008,1010008,40
1010009,1010009,45
1010010,1010010,30
1010011,1010011,60
1010012,1010012,90
1010013,1010013,35
1010020,1010020,20
1010020,1010025,20
1010020,1010802,50
1010022,1010022,55
1010022,1010025,80
1010022,1010802,45
1010025,1010020,35
1010025,1010022,20
1010025,1010025,3550
1010025,1010032,20
1010025,1010042,85
1010025,1010802,60
1010025,1011020,20
1010029,1010029,340
1010032,1010020,20
1010032,1010032,3015
1010032,1010034,390
1010032,2497007,25
1010034,1010032,575
1010034,1010034,265
1010801,1010801,225
1010802,1010020,40
1010802,1010802,125
1011010,1011010,45
1011015,1011015,40
1011020,1011020,105
1011030,1011030,140
1011035,1010042,25
1011035,1011035,280
1101001,1101001,30
1101001,1101002,35
1101001,1101004,40
1101001,1101018,30
1101001,1102075,45
1101002,1101001,35
1101004,1101002,20
1101004,1101018,35
1101004,1102075,20
1101006,1101002,25
1101006,1101018,125
1101006,1102075,20
1101008,1101018,130
1101008,1102075,35
1101009,1101009,20
1101009,1101018,195
1101009,1102075,95
1101009,1102080,25
1101011,1101018,20
1101011,1102075,35
1101014,1101018,160
1101014,1102075,70
1101016,1101018,145
1101016,1101021,25
1101016,1102075,65
1101018,1101001,20
1101018,1101016,35
1101018,1101018,240
1101018,1101024,20
1101018,1102075,70
1101018,1102080,20
1101019,1101018,45
1101019,1102075,35
1101021,1101021,50
1101021,1102075,30
1101022,1101018,40
1101022,1101024,20
1101022,1102075,35
1101024,1101016,20
1101024,1101018,25
1101024,1101024,85
1101026,1101018,35
1101026,1102075,20
1101028,1101018,20
1101028,1101036,20
1101029,1101036,35
1101029,1102075,20
1101031,1101031,40
1101031,1101036,165
1101031,1102075,45
1101032,1101031,30
1101032,1101036,175
1101032,1101039,20
1101032,1102075,20
1101034,1101036,100
1101036,1101032,25
1101036,1101036,210
1101036,1101039,20
1101036,1101048,20
1101038,1101036,80
1101039,1101036,125
1101039,1101039,40
1101041,1101036,20
1101041,1102075,30
1101042,1102075,50
1101044,1101018,20
1101044,1101044,20
1101044,1101048,25
1101044,1102075,25
1101046,1101048,55
1101046,1102075,45
1101048,1101048,65
1101048,1102075,35
1101049,1101048,70
1101049,1102075,105
1101051,1102075,115
1102001,1101018,25
1102001,1102075,40
1102004,1102075,35
1102006,1101018,25
1102006,1102008,25
1102006,1102075,55
1102008,1101018,75
1102008,1102008,45
1102008,1102075,105
1102009,1101018,40
1102009,1102009,35
1102009,1102075,160
1102012,1101018,20
1102012,1102008,25
1102012,1102009,30
1102012,1102012,25
1102012,1102075,260
1102012,1102080,35
1102014,1101018,35
1102014,1102014,35
